CDS	LEAname	Countyname	LocalIndicator	Performance
01100170000000	Alameda County Office of Education	Alameda	Basic-Priority Area 1	Met
01100170000000	Alameda County Office of Education	Alameda	Academic-Priority Area 2	Met
01100170000000	Alameda County Office of Education	Alameda	Parents-Priority Area 3	Met
01100170000000	Alameda County Office of Education	Alameda	Climate-Priority Area 6	Met
01100170000000	Alameda County Office of Education	Alameda	Expelled-Priority Area 9	Met
01100170000000	Alameda County Office of Education	Alameda	FosterYouth-Priority Area 10	Met
01611190000000	Alameda Unified	Alameda	Basic-Priority Area 1	Met
01611190000000	Alameda Unified	Alameda	Academic-Priority Area 2	Met
01611190000000	Alameda Unified	Alameda	Parents-Priority Area 3	Met
01611190000000	Alameda Unified	Alameda	Climate-Priority Area 6	Met
01611270000000	Albany City Unified	Alameda	Basic-Priority Area 1	Met
01611270000000	Albany City Unified	Alameda	Academic-Priority Area 2	Met
01611270000000	Albany City Unified	Alameda	Parents-Priority Area 3	Met
01611270000000	Albany City Unified	Alameda	Climate-Priority Area 6	Met
01611430000000	Berkeley Unified	Alameda	Basic-Priority Area 1	Met
01611430000000	Berkeley Unified	Alameda	Academic-Priority Area 2	Met
01611430000000	Berkeley Unified	Alameda	Parents-Priority Area 3	Met
01611430000000	Berkeley Unified	Alameda	Climate-Priority Area 6	Met
01611500000000	Castro Valley Unified	Alameda	Basic-Priority Area 1	Met
01611500000000	Castro Valley Unified	Alameda	Academic-Priority Area 2	Met
01611500000000	Castro Valley Unified	Alameda	Parents-Priority Area 3	Met
01611500000000	Castro Valley Unified	Alameda	Climate-Priority Area 6	Met
01611680000000	Emery Unified	Alameda	Basic-Priority Area 1	Met
01611680000000	Emery Unified	Alameda	Academic-Priority Area 2	Met
01611680000000	Emery Unified	Alameda	Parents-Priority Area 3	Met
01611680000000	Emery Unified	Alameda	Climate-Priority Area 6	Met
01611760000000	Fremont Unified	Alameda	Basic-Priority Area 1	Met
01611760000000	Fremont Unified	Alameda	Academic-Priority Area 2	Met
01611760000000	Fremont Unified	Alameda	Parents-Priority Area 3	Met
01611760000000	Fremont Unified	Alameda	Climate-Priority Area 6	Met
01611920000000	Hayward Unified	Alameda	Basic-Priority Area 1	Not Met
01611920000000	Hayward Unified	Alameda	Academic-Priority Area 2	Not Met
01611920000000	Hayward Unified	Alameda	Parents-Priority Area 3	Not Met
01611920000000	Hayward Unified	Alameda	Climate-Priority Area 6	Not Met
01612000000000	Livermore Valley Joint Unified	Alameda	Basic-Priority Area 1	Met
01612000000000	Livermore Valley Joint Unified	Alameda	Academic-Priority Area 2	Met
01612000000000	Livermore Valley Joint Unified	Alameda	Parents-Priority Area 3	Met
01612000000000	Livermore Valley Joint Unified	Alameda	Climate-Priority Area 6	Met
01612180000000	Mountain House Elementary	Alameda	Basic-Priority Area 1	Not Met
01612180000000	Mountain House Elementary	Alameda	Academic-Priority Area 2	Not Met
01612180000000	Mountain House Elementary	Alameda	Parents-Priority Area 3	Not Met
01612180000000	Mountain House Elementary	Alameda	Climate-Priority Area 6	Not Met
01612340000000	Newark Unified	Alameda	Basic-Priority Area 1	Met
01612340000000	Newark Unified	Alameda	Academic-Priority Area 2	Met
01612340000000	Newark Unified	Alameda	Parents-Priority Area 3	Met
01612340000000	Newark Unified	Alameda	Climate-Priority Area 6	Met
01612420000000	New Haven Unified	Alameda	Basic-Priority Area 1	Met
01612420000000	New Haven Unified	Alameda	Academic-Priority Area 2	Met
01612420000000	New Haven Unified	Alameda	Parents-Priority Area 3	Met
01612420000000	New Haven Unified	Alameda	Climate-Priority Area 6	Met
01612590000000	Oakland Unified	Alameda	Basic-Priority Area 1	Met
01612590000000	Oakland Unified	Alameda	Academic-Priority Area 2	Met
01612590000000	Oakland Unified	Alameda	Parents-Priority Area 3	Met
01612590000000	Oakland Unified	Alameda	Climate-Priority Area 6	Met
01612750000000	Piedmont City Unified	Alameda	Basic-Priority Area 1	Met
01612750000000	Piedmont City Unified	Alameda	Academic-Priority Area 2	Not Met
01612750000000	Piedmont City Unified	Alameda	Parents-Priority Area 3	Met
01612750000000	Piedmont City Unified	Alameda	Climate-Priority Area 6	Not Met
