cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	studentgroup	studentgroup_pct	currdenom	currstatus	curr_prep	curr_prep_pct	curr_prep_a	curr_prep_a_pct	curr_prep_b	curr_prep_b_pct	curr_prep_c	curr_prep_c_pct	curr_prep_d	curr_prep_d_pct	curr_prep_e	curr_prep_e_pct	curr_aprep	curr_aprep_pct	curr_aprep_a	curr_aprep_a_pct	curr_aprep_b	curr_aprep_b_pct	curr_aprep_c	curr_aprep_c_pct	curr_aprep_d	curr_aprep_d_pct	curr_nprep	curr_nprep_pct	statuslevel	reportingyear
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		AA	41.8	38	10.5	4	10.5	0	0	1	25	0	0	0	0	4	100	30	78.9	0	0	1	3.3	0	0	30	100	4	10.5	2	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		AI	1.1	1																										0	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		ALL	100	91	27.5	25	27.5	0	0	7	28	0	0	1	4	25	100	55	60.4	0	0	1	1.8	0	0	55	100	11	12.1	2	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		AS	1.1	1																										0	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		EL	17.6	16	25	4	25	0	0	0	0	0	0	0	0	4	100	10	62.5	0	0	0	0	0	0	10	100	2	12.5	2	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		FOS	1.1	1																										0	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		HI	48.4	44	43.2	19	43.2	0	0	5	26.3	0	0	0	0	19	100	21	47.7	0	0	0	0	0	0	21	100	4	9.1	3	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		HOM	4.4	4																										0	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		MR	3.3	3																										0	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		SED	85.7	78	26.9	21	26.9	0	0	6	28.6	0	0	1	4.8	21	100	47	60.3	0	0	0	0	0	0	47	100	10	12.8	2	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		SWD	11	10																										0	2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		WH	4.4	4																										0	2017f
01611190000000	D		Alameda Unified	Alameda			AA	9.4	60	23.3	14	23.3	1	7.1	9	64.3	0	0	2	14.3	9	64.3	16	26.7	2	12.5	11	68.8	0	0	4	25	30	50	2	2017f
01611190000000	D		Alameda Unified	Alameda			ALL	100	640	55	352	55	16	4.5	265	75.3	0	0	170	48.3	307	87.2	106	16.6	12	11.3	66	62.3	0	0	34	32.1	182	28.4	4	2017f
01611190000000	D		Alameda Unified	Alameda			AS	38.3	245	68.2	167	68.2	5	3	139	83.2	0	0	90	53.9	148	88.6	34	13.9	2	5.9	25	73.5	0	0	10	29.4	44	18	4	2017f
01611190000000	D		Alameda Unified	Alameda			EL	24.1	154	37	57	37	1	1.8	37	64.9	0	0	16	28.1	45	78.9	41	26.6	2	4.9	31	75.6	0	0	11	26.8	56	36.4	3	2017f
01611190000000	D		Alameda Unified	Alameda			FI	8	51	62.7	32	62.7	0	0	24	75	0	0	9	28.1	27	84.4	10	19.6	0	0	8	80	0	0	3	30	9	17.6	4	2017f
01611190000000	D		Alameda Unified	Alameda			FOS	0.3	2																										0	2017f
01611190000000	D		Alameda Unified	Alameda			HI	11.9	76	34.2	26	34.2	3	11.5	13	50	0	0	8	30.8	22	84.6	15	19.7	1	6.7	12	80	0	0	2	13.3	35	46.1	2	2017f
01611190000000	D		Alameda Unified	Alameda			HOM	4.1	26	46.2	12	46.2	1	8.3	9	75	0	0	3	25	11	91.7	6	23.1	1	16.7	4	66.7	0	0	1	16.7	8	30.8	3	2017f
01611190000000	D		Alameda Unified	Alameda			MR	4.1	26	53.8	14	53.8	1	7.1	10	71.4	0	0	5	35.7	11	78.6	2	7.7	0	0	0	0	0	0	2	100	10	38.5	3	2017f
01611190000000	D		Alameda Unified	Alameda			PI	1.3	8																										0	2017f
01611190000000	D		Alameda Unified	Alameda			SED	44.5	285	42.8	122	42.8	6	4.9	88	72.1	0	0	44	36.1	104	85.2	56	19.6	5	8.9	41	73.2	0	0	13	23.2	107	37.5	3	2017f
01611190000000	D		Alameda Unified	Alameda			SWD	10.5	67	13.4	9	13.4	1	11.1	4	44.4	0	0	1	11.1	6	66.7	11	16.4	4	36.4	3	27.3	0	0	5	45.5	47	70.1	2	2017f
01611190000000	D		Alameda Unified	Alameda			WH	27.2	174	55.2	96	55.2	6	6.3	67	69.8	0	0	55	57.3	88	91.7	27	15.5	5	18.5	10	37	0	0	13	48.1	51	29.3	4	2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			AA	5.6	2																										0	2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			ALL	100	36	91.7	33	91.7	0	0	32	97	0	0	0	0	30	90.9	2	5.6	0	0	2	100	0	0	0	0	1	2.8	5	2017f
