cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	studentgroup	currdenom	currstatus	priordenom	priorstatus	change	caa_denom	caa_level1_num	caa_level1_pct	caa_level2_num	caa_level2_pct	caa_level3_num	caa_level3_pct	reportingyear
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		AA	37	0.3	34	-21.1	21.4								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		AI	3		1										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		ALL	90	-3.3	88	-17	13.7	0							2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		AS	2		2										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		EL	18	-48.6	21	-73.2	24.6								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		ELO	4		10										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		EO	45	-3.8	44	-5.2	1.5								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		HI	44	-16.8	46	-22.4	5.6								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		MR	1		0										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		PI	2		0										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		RFP	14	-28.4	11	-42.9	14.6								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		SED	70	-17.4	63	-18.5	1.1								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		SWD	13	-63.9	8										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		WH	1		5										2017f
01611190000000	D		Alameda Unified	Alameda			AA	66	-47.1	52	26.7	-73.7								2017f
01611190000000	D		Alameda Unified	Alameda			AI	4		1										2017f
01611190000000	D		Alameda Unified	Alameda			ALL	688	53.5	630	69.4	-15.9	2							2017f
01611190000000	D		Alameda Unified	Alameda			AS	250	90.3	246	86.7	3.5								2017f
01611190000000	D		Alameda Unified	Alameda			EL	127	-24.1	115	-13.9	-10.3								2017f
01611190000000	D		Alameda Unified	Alameda			ELO	65	-69.9	59	-47.1	-22.8								2017f
01611190000000	D		Alameda Unified	Alameda			EO	380	53.8	347	75.2	-21.4								2017f
01611190000000	D		Alameda Unified	Alameda			FI	74	29.2	61	54.2	-24.9								2017f
01611190000000	D		Alameda Unified	Alameda			HI	86	4.4	85	39.5	-35.1								2017f
01611190000000	D		Alameda Unified	Alameda			HOM	8		6										2017f
01611190000000	D		Alameda Unified	Alameda			MR	34	63.6	29	64.3	-0.7								2017f
01611190000000	D		Alameda Unified	Alameda			PI	7		4										2017f
01611190000000	D		Alameda Unified	Alameda			RFP	62	23.9	56	21.1	2.7								2017f
01611190000000	D		Alameda Unified	Alameda			SED	218	16.6	177	45	-28.4								2017f
01611190000000	D		Alameda Unified	Alameda			SWD	56	-98.3	46	-41.8	-56.5								2017f
01611190000000	D		Alameda Unified	Alameda			WH	167	77.8	151	84.6	-6.8								2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			AA	2		1										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			ALL	45	105.5	46	121.6	-16	0							2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			AS	31	112.6	27	115.9	-3.2								2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			EL	5		7										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			ELO	2		1										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			EO	12	55.3	21	134.8	-79.6								2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			FI	4		6										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			HI	4		7										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			PI	1		1										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			RFP	3		6										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			SED	16	101.2	18	117.8	-16.6								2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			WH	3		2										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		AA	10		4										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		AI	1		1										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		ALL	26	15	20	11.1	4	0							2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		AS	4		4										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		EL	5		3										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		ELO	3		3										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		EO	17	0.1	15	2.8	-2.7								2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		FI	2		0										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		HI	4		5										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		MR	2		3										2017f
