cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	studentgroup	currdenom	currstatus	priordenom	priorstatus	change	caa_denom	caa_level1_num	caa_level1_pct	caa_level2_num	caa_level2_pct	caa_level3_num	caa_level3_pct	reportingyear
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		AA	37	-108.1	35	-131.3	23.3								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		AI	3		1										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		ALL	89	-105.2	89	-121.7	16.5	0							2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		AS	2		2										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		EL	18	-143.6	21	-164.6	21								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		ELO	4		10										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		EO	45	-112.8	45	-120.5	7.7								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		HI	43	-118	46	-124.2	6.2								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		MR	1		0										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		PI	2		0										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		RFP	14	-124.4	11	-140.1	15.7								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		SED	69	-120	64	-115.5	-4.5								2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		SWD	13	-195.6	8										2017f
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y		WH	1		5										2017f
01611190000000	D		Alameda Unified	Alameda			AA	65	-108.7	48	-52	-56.7								2017f
01611190000000	D		Alameda Unified	Alameda			AI	4		1										2017f
01611190000000	D		Alameda Unified	Alameda			ALL	689	-3.2	624	16.7	-19.9	2							2017f
01611190000000	D		Alameda Unified	Alameda			AS	251	52.6	245	61.7	-9								2017f
01611190000000	D		Alameda Unified	Alameda			EL	127	-64.7	114	-40.7	-24								2017f
01611190000000	D		Alameda Unified	Alameda			ELO	65	-86.6	58	-59	-27.6								2017f
01611190000000	D		Alameda Unified	Alameda			EO	380	-11.2	342	12.3	-23.4								2017f
01611190000000	D		Alameda Unified	Alameda			FI	74	-36.8	60	-4.7	-32.2								2017f
01611190000000	D		Alameda Unified	Alameda			HI	86	-76.8	87	-47.4	-29.3								2017f
01611190000000	D		Alameda Unified	Alameda			HOM	8		6										2017f
01611190000000	D		Alameda Unified	Alameda			MR	34	-24.6	30	-15.7	-8.9								2017f
01611190000000	D		Alameda Unified	Alameda			PI	7		4										2017f
01611190000000	D		Alameda Unified	Alameda			RFP	62	-41.7	56	-21.8	-19.9								2017f
01611190000000	D		Alameda Unified	Alameda			SED	217	-37	177	-6.2	-30.8								2017f
01611190000000	D		Alameda Unified	Alameda			SWD	54	-183.7	45	-132.2	-51.5								2017f
01611190000000	D		Alameda Unified	Alameda			WH	168	20	148	22.6	-2.6								2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			AA	2		1										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			ALL	45	73.8	46	91.5	-17.7	0							2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			AS	31	74.5	27	93.4	-18.9								2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			EL	5		7										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			ELO	2		1										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			EO	12	36.7	21	95.6	-58.9								2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			FI	4		6										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			HI	4		7										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			PI	1		1										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			RFP	3		6										2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			SED	16	56	18	80.2	-24.2								2017f
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda			WH	3		2										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		AA	11	-162.5	4										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		AI	1		1										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		ALL	27	-96.2	21	-86.3	-9.9	0							2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		AS	3		4										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		EL	6		3										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		ELO	3		3										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		EO	17	-94.5	15	-107.9	13.4								2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		FI	3		0										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		HI	4		5										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		MR	2		4										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		RFP	3		0										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		SED	12	-149.8	6										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		SWD	5		6										2017f
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y		WH	3		3										2017f
01611190130229	S	Alameda High	Alameda Unified	Alameda			AA	21	-77.9	19	-33.7	-44.2								2017f
01611190130229	S	Alameda High	Alameda Unified	Alameda			AI	2		1										2017f
01611190130229	S	Alameda High	Alameda Unified	Alameda			ALL	402	18.3	386	30.9	-12.6	0							2017f
01611190130229	S	Alameda High	Alameda Unified	Alameda			AS	167	60.3	174	65.7	-5.4								2017f
01611190130229	S	Alameda High	Alameda Unified	Alameda			EL	59	-59.1	63	-41	-18.1								2017f
01611190130229	S	Alameda High	Alameda Unified	Alameda			ELO	26	-69.9	28	-55.6	-14.3								2017f
01611190130229	S	Alameda High	Alameda Unified	Alameda			EO	238	16	217	31	-14.9								2017f
01611190130229	S	Alameda High	Alameda Unified	Alameda			FI	26	-16.2	17	-36.2	20								2017f
