cds	rtype	schoolname	districtname	countyname	dass_flag	charter_flag	coe_flag	PL_1	PL1_Pct	PL_2	PL2_Pct	PL_3	PL3_Pct	PL_4	PL4_Pct	PLTotCt	reportingyear
00000000000000	X							166586	14.6	230338	20.2	394529	34.6	348776	30.6	1140229	2018
01100170000000	D		Alameda County Office of Education	Alameda			Y	14	34.1	19	46.3	6	14.6	2	4.9	41	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda		Y		5	10	13	26	9	18	23	46	50	2018
01100170123968	S	Community School for Creative Education	Alameda County Office of Education	Alameda		Y		7	10.1	19	27.5	25	36.2	18	26.1	69	2018
01100170124172	S	Yu Ming Charter	Alameda County Office of Education	Alameda		Y		2	11.1	3	16.7	3	16.7	10	55.6	18	2018
01100170125567	S	Urban Montessori Charter	Alameda County Office of Education	Alameda		Y		5	7.1	11	15.7	24	34.3	30	42.9	70	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	Y												2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	Y			12	36.4	14	42.4	5	15.2	2	6.1	33	2018
01100170131581	S	Oakland Unity Middle	Alameda County Office of Education	Alameda		Y		7	15.9	16	36.4	14	31.8	7	15.9	44	2018
01100170136101	S	Connecting Waters Charter - East Bay	Alameda County Office of Education	Alameda		Y											2018
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y	Y		1	7.7	2	15.4	9	69.2	1	7.7	13	2018
01100176001788	S	Cox Academy	Alameda County Office of Education	Alameda		Y		29	9.3	47	15.1	133	42.8	102	32.8	311	2018
01100176002000	S	Lazear Charter Academy	Alameda County Office of Education	Alameda		Y		9	4.5	34	16.9	95	47.3	63	31.3	201	2018
01611190000000	D		Alameda Unified	Alameda				107	7.5	167	11.7	368	25.8	786	55	1428	2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda													2018
01611190111765	S	Ruby Bridges Elementary	Alameda Unified	Alameda				20	11	37	20.4	50	27.6	74	40.9	181	2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda		Y		7	10.4	11	16.4	23	34.3	26	38.8	67	2018
01611190122085	S	The Academy of Alameda	Alameda Unified	Alameda		Y				9	20.5	13	29.5	22	50	44	2018
01611190126656	S	Maya Lin	Alameda Unified	Alameda				11	19	2	3.4	12	20.7	33	56.9	58	2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				14	9.4	18	12.1	35	23.5	82	55	149	2018
