cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currnumer	currdenom	currstatus	priornumer	priordenom	priorstatus	safetynet	change	statuslevel	changelevel	color	box	reportingyear
00000000000000	X							AA	24516	34021	72.1	24758	32815	75.4	N	-3.4	2	2	2	170	2018
00000000000000	X							AI	2368	3184	74.4	2424	3181	76.2	N	-1.8	2	2	2	170	2018
00000000000000	X							ALL	432963	518317	83.5	422375	500096	84.5	N	-0.9	3	3	3	130	2018
00000000000000	X							AS	44328	47467	93.4	40268	43119	93.4	N	0	4	3	4	80	2018
00000000000000	X							EL	52185	73613	70.9	50211	70782	70.9	N	0	2	3	2	180	2018
00000000000000	X							FI	13840	14923	92.7	13443	14356	93.6	N	-0.9	4	3	4	80	2018
00000000000000	X							FOS	3924	6651	59	3672	6333	58	N	1	1	4	1	240	2018
00000000000000	X							HI	221500	272753	81.2	215114	262378	82	N	-0.8	3	3	3	130	2018
00000000000000	X							HOM	23009	30288	76	26501	33773	78.5	N	-2.5	2	2	2	170	2018
00000000000000	X							MR	12027	14197	84.7	11635	13619	85.4	N	-0.7	3	3	3	130	2018
00000000000000	X							PI	2223	2744	81	2251	2693	83.6	N	-2.6	3	2	2	120	2018
00000000000000	X							SED	284131	351486	80.8	273289	336341	81.3	N	-0.4	3	3	3	130	2018
00000000000000	X							SWD	41122	57589	71.4	38626	54662	70.7	N	0.7	2	3	2	180	2018
00000000000000	X							WH	108983	124294	87.7	110511	124402	88.8	N	-1.2	3	2	2	120	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		AA	31	58	53.4	52	89	58.4	Y	-5	1	2	1	220	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		ALL	83	144	57.6	110	180	61.1	Y	-3.5	1	2	1	220	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		AS		3			3		Y		0	0	0	0	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		EL	16	23	69.6	11	23	47.8	Y	21.7	2	4	0	0	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		FI		1			2		Y		0	0	0	0	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		FOS	14	24	58.3	18	29	62.1	Y	-3.7	1	2	1	220	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		HI	37	64	57.8	40	63	63.5	Y	-5.7	1	2	1	220	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		HOM	13	25	52	15	21	71.4	Y	-19.4	1	2	1	220	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		MR		7			10		Y		0	0	0	0	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		PI		1			3		Y		0	0	0	0	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		SED	76	134	56.7	103	167	61.7	Y	-5	1	2	1	220	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		SWD	17	32	53.1	20	33	60.6	Y	-7.5	1	2	1	220	2018
01100170000000	D		Alameda County Office of Education	Alameda		Y		WH		9			10		Y		0	0	0	0	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AA	32	34	94.1	24	34	70.6	Y	23.5	4	4	4	90	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AI		3			1		Y		0	0	0	0	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			ALL	80	87	92	66	81	81.5	Y	10.5	4	4	4	90	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AS		2			2		Y		0	0	0	0	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			EL	12	14	85.7	13	15	86.7	Y	-1	3	2	0	0	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			HI	38	43	88.4	36	40	90	Y	-1.6	3	2	2	120	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			HOM		2			2		Y		0	0	0	0	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			MR		2			0		Y		0	0	0	0	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			PI		2			0		Y		0	0	0	0	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			SED	72	78	92.3	57	69	82.6	Y	9.7	4	4	4	90	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			SWD	12	14	85.7		7		Y		3	0	0	0	2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			WH		1			3		Y		0	0	0	0	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	AA	13	23	56.5	15	23	65.2	Y	-8.7	1	2	0	0	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	ALL	22	36	61.1	29	42	69	Y	-7.9	1	2	1	220	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	EL		6			4		Y		0	0	0	0	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	FOS	5	11	45.5		9		Y		1	0	0	0	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	HI		9		8	11	72.7	Y		0	0	0	0	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	HOM	8	14	57.1		9		Y		1	0	0	0	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	MR		2			4		Y		0	0	0	0	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	SED	22	36	61.1	29	42	69	Y	-7.9	1	2	1	220	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	SWD	8	17	47.1	8	12	66.7	Y	-19.6	1	2	0	0	2018
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	WH		2			2		Y		0	0	0	0	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	AA	17	33	51.5	35	63	55.6	Y	-4	1	2	1	220	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	ALL	59	104	56.7	79	134	59	Y	-2.2	1	3	1	230	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	AS		2			3		Y		0	0	0	0	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	EL	9	15	60	8	18	44.4	Y	15.6	1	4	0	0	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	FI		1			1		Y		0	0	0	0	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	FOS	9	12	75	12	19	63.2	Y	11.8	3	4	0	0	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	HI	31	54	57.4	32	51	62.7	Y	-5.3	1	2	1	220	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	HOM		9		8	11	72.7	Y		0	0	0	0	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	MR		5			6		Y		0	0	0	0	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	PI		1			2		Y		0	0	0	0	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	SED	52	94	55.3	72	121	59.5	Y	-4.2	1	2	1	220	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	SWD	8	12	66.7	12	21	57.1	Y	9.5	1	4	0	0	2018
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	WH		7			8		Y		0	0	0	0	2018
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y		Y	AA	21	34	61.8		0		Y		1	0	0	0	2018
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y		Y	AI		1			0		Y		0	0	0	0	2018
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y		Y	ALL	43	66	65.2		0		Y		1	0	0	0	2018
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y		Y	AS		1			0		Y		0	0	0	0	2018
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y		Y	EL		7			0		Y		0	0	0	0	2018
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y		Y	FI		1			0		Y		0	0	0	0	2018
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y		Y	FOS		10			0		Y		0	0	0	0	2018
