cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	StudentGroup	currnumer	currdenom	currstatus	priornumer	priordenom	priorstatus	safetynet	change	statuslevel	changelevel	color	box	reportingyear
00000000000000	X							AA	25210	32830	76.8										2018
00000000000000	X							AI	2481	3184	77.9										2018
00000000000000	X							ALL	428027	500173	85.6										2018
00000000000000	X							AS	40666	43122	94.3										2018
00000000000000	X							EL	52275	70799	73.8										2018
00000000000000	X							FI	13524	14356	94.2										2018
00000000000000	X							FOS	3831	6339	60.4										2018
00000000000000	X							HI	218420	262410	83.2										2018
00000000000000	X							HOM	27169	33788	80.4										2018
00000000000000	X							MR	11785	13621	86.5										2018
00000000000000	X							PI	2280	2693	84.7										2018
00000000000000	X							SED	278116	336401	82.7										2018
00000000000000	X							SWD	40207	54696	73.5										2018
00000000000000	X							WH	111631	124419	89.7										2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	Y		AA	31	34	91.2										2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	Y		AI	1	1	100										2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	Y		ALL	74	81	91.4										2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	Y		AS	2	2	100										2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	Y		EL	14	15	93.3										2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	Y		HI	37	40	92.5										2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	Y		HOM	2	2	100										2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	Y		SED	64	69	92.8										2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	Y		SWD	7	7	100										2018
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	Y		WH	3	3	100										2018
01611190000000	D		Alameda Unified	Alameda				AA	69	78	88.5										2018
01611190000000	D		Alameda Unified	Alameda				AI	1	1	100										2018
01611190000000	D		Alameda Unified	Alameda				ALL	722	796	90.7										2018
01611190000000	D		Alameda Unified	Alameda				AS	266	274	97.1										2018
01611190000000	D		Alameda Unified	Alameda				EL	121	137	88.3										2018
01611190000000	D		Alameda Unified	Alameda				FI	68	71	95.8										2018
01611190000000	D		Alameda Unified	Alameda				FOS	2	3	66.7										2018
01611190000000	D		Alameda Unified	Alameda				HI	98	127	77.2										2018
01611190000000	D		Alameda Unified	Alameda				HOM	13	15	86.7										2018
01611190000000	D		Alameda Unified	Alameda				MR	37	42	88.1										2018
01611190000000	D		Alameda Unified	Alameda				PI	3	6	50										2018
01611190000000	D		Alameda Unified	Alameda				SED	300	340	88.2										2018
01611190000000	D		Alameda Unified	Alameda				SWD	50	76	65.8										2018
01611190000000	D		Alameda Unified	Alameda				WH	180	197	91.4										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				AA	1	1	100										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				ALL	45	46	97.8										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				AS	26	26	100										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				EL	5	5	100										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				FI	6	6	100										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				HI	8	8	100										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				HOM	1	1	100										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				MR	1	1	100										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				PI	1	1	100										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				SED	22	22	100										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				SWD	1	2	50										2018
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda				WH	2	3	66.7										2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			AA	3	5	60										2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			AI	1	1	100										2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			ALL	16	20	80										2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			AS	4	4	100										2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			EL	2	2	100										2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			HI	4	4	100										2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			HOM	0	1	0										2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			MR	1	1	100										2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			SED	8	11	72.7										2018
